param_warm_start,param_validation_fraction,param_tol,param_solver,param_shuffle,param_nesterovs_momentum,param_momentum,param_max_iter,param_learning_rate,param_hidden_layer_sizes,param_epsilon,param_early_stopping,param_beta_2,param_beta_1,param_batch_size,param_alpha,param_activation,params,mean_test_score,std_test_score,rank_test_score
True,0.1,0.001,lbfgs,False,True,0.95,400,invscaling,"(50,)",1e-06,False,0.9999,0.9,500,0.0001,identity,"{'warm_start': True, 'validation_fraction': 0.1, 'tol': 0.001, 'solver': 'lbfgs', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.95, 'max_iter': 400, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (50,), 'epsilon': 1e-06, 'early_stopping': False, 'beta_2': 0.9999, 'beta_1': 0.9, 'batch_size': 500, 'alpha': 0.0001, 'activation': 'identity'}",0.999821534800714,0.000272610094881351,10
False,0.2,0.001,adam,True,True,0.95,400,invscaling,"(150, 150)",1e-08,False,0.9999,0.99,auto,0.1,identity,"{'warm_start': False, 'validation_fraction': 0.2, 'tol': 0.001, 'solver': 'adam', 'shuffle': True, 'nesterovs_momentum': True, 'momentum': 0.95, 'max_iter': 400, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (150, 150), 'epsilon': 1e-08, 'early_stopping': False, 'beta_2': 0.9999, 'beta_1': 0.99, 'batch_size': 'auto', 'alpha': 0.1, 'activation': 'identity'}",0.999821534800714,0.000272610094881351,10
False,0.1,0.01,adam,False,False,0.95,600,adaptive,"(200,)",1e-08,True,0.999,0.99,500,0.01,relu,"{'warm_start': False, 'validation_fraction': 0.1, 'tol': 0.01, 'solver': 'adam', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.95, 'max_iter': 600, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (200,), 'epsilon': 1e-08, 'early_stopping': True, 'beta_2': 0.999, 'beta_1': 0.99, 'batch_size': 500, 'alpha': 0.01, 'activation': 'relu'}",0.9996430696014278,0.000545220189762731,16
True,0.1,0.01,lbfgs,False,False,0.95,800,invscaling,"(200,)",1e-07,False,0.999,0.99,200,0.0001,relu,"{'warm_start': True, 'validation_fraction': 0.1, 'tol': 0.01, 'solver': 'lbfgs', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.95, 'max_iter': 800, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (200,), 'epsilon': 1e-07, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.99, 'batch_size': 200, 'alpha': 0.0001, 'activation': 'relu'}",0.9996430341916659,0.0002914613799376064,17
True,0.15,0.0001,sgd,False,True,0.95,600,adaptive,"(100, 100)",1e-08,True,0.9999,0.9,200,0.0001,relu,"{'warm_start': True, 'validation_fraction': 0.15, 'tol': 0.0001, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.95, 'max_iter': 600, 'learning_rate': 'adaptive', 'hidden_layer_sizes': (100, 100), 'epsilon': 1e-08, 'early_stopping': True, 'beta_2': 0.9999, 'beta_1': 0.9, 'batch_size': 200, 'alpha': 0.0001, 'activation': 'relu'}",0.9995835812016658,0.000380911614362449,18
False,0.15,0.001,sgd,False,False,0.95,400,constant,"(200,)",1e-08,False,0.999,0.9,auto,0.0001,logistic,"{'warm_start': False, 'validation_fraction': 0.15, 'tol': 0.001, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.95, 'max_iter': 400, 'learning_rate': 'constant', 'hidden_layer_sizes': (200,), 'epsilon': 1e-08, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 'auto', 'alpha': 0.0001, 'activation': 'logistic'}",0.999524057392142,0.0005186159801238606,19
True,0.2,0.01,sgd,True,False,0.99,400,invscaling,"(150, 150)",1e-06,False,0.999,0.99,200,0.01,relu,"{'warm_start': True, 'validation_fraction': 0.2, 'tol': 0.01, 'solver': 'sgd', 'shuffle': True, 'nesterovs_momentum': False, 'momentum': 0.99, 'max_iter': 400, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (150, 150), 'epsilon': 1e-06, 'early_stopping': False, 'beta_2': 0.999, 'beta_1': 0.99, 'batch_size': 200, 'alpha': 0.01, 'activation': 'relu'}",0.9992266153933317,0.0009235014735615238,20
True,0.2,0.01,sgd,False,True,0.99,600,invscaling,"(100, 100)",1e-06,True,0.9999,0.99,200,0.01,relu,"{'warm_start': True, 'validation_fraction': 0.2, 'tol': 0.01, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.99, 'max_iter': 600, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (100, 100), 'epsilon': 1e-06, 'early_stopping': True, 'beta_2': 0.9999, 'beta_1': 0.99, 'batch_size': 200, 'alpha': 0.01, 'activation': 'relu'}",0.9988696849947593,0.0010456925141046534,21
False,0.2,0.01,lbfgs,False,False,0.9,200,constant,"(100, 100)",1e-08,True,0.999,0.9,auto,0.01,tanh,"{'warm_start': False, 'validation_fraction': 0.2, 'tol': 0.01, 'solver': 'lbfgs', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.9, 'max_iter': 200, 'learning_rate': 'constant', 'hidden_layer_sizes': (100, 100), 'epsilon': 1e-08, 'early_stopping': True, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 'auto', 'alpha': 0.01, 'activation': 'tanh'}",0.9981554700999972,0.002052164343112901,22
False,0.15,0.0001,sgd,False,False,0.99,400,invscaling,"(200,)",1e-06,True,0.999,0.9,200,0.1,tanh,"{'warm_start': False, 'validation_fraction': 0.15, 'tol': 0.0001, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.99, 'max_iter': 400, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (200,), 'epsilon': 1e-06, 'early_stopping': True, 'beta_2': 0.999, 'beta_1': 0.9, 'batch_size': 200, 'alpha': 0.1, 'activation': 'tanh'}",0.9949431319226084,0.00301294438481926,23
False,0.15,0.01,sgd,False,False,0.9,400,constant,"(50,)",1e-07,True,0.999,0.99,500,0.01,tanh,"{'warm_start': False, 'validation_fraction': 0.15, 'tol': 0.01, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': False, 'momentum': 0.9, 'max_iter': 400, 'learning_rate': 'constant', 'hidden_layer_sizes': (50,), 'epsilon': 1e-07, 'early_stopping': True, 'beta_2': 0.999, 'beta_1': 0.99, 'batch_size': 500, 'alpha': 0.01, 'activation': 'tanh'}",0.9908385031585508,0.0030000651983517063,24
True,0.15,0.0001,sgd,False,True,0.9,600,invscaling,"(100, 100)",1e-07,True,0.9999,0.99,500,0.0001,tanh,"{'warm_start': True, 'validation_fraction': 0.15, 'tol': 0.0001, 'solver': 'sgd', 'shuffle': False, 'nesterovs_momentum': True, 'momentum': 0.9, 'max_iter': 600, 'learning_rate': 'invscaling', 'hidden_layer_sizes': (100, 100), 'epsilon': 1e-07, 'early_stopping': True, 'beta_2': 0.9999, 'beta_1': 0.99, 'batch_size': 500, 'alpha': 0.0001, 'activation': 'tanh'}",0.8939834565593042,0.020936600829617277,25
